Cargo,Trip Number,Truck,Planned Loading Arrival,Loading Arrival,Planned Offloading Arrival,Offloading Arrival,Loading Difference (hrs),Offloading Difference (hrs),Planning Difference(hrs),Time Created,Created by,Customer
235766,191713,77,2011-08-08 13:00:00,2011-08-08 13:00:00,2011-08-08 16:00:00,2011-08-08 20:45:00,0,5,4,8 August,Devon Bezuidenhout,Monteagle Africa Limited
235557,192350,221,2011-08-08 15:00:00,2011-08-08 15:19:00,2011-08-10 12:00:00,2011-08-10 08:00:00,0,-4,74,8 August,Jacques Maartens,Chep
235789,184498,81,2011-08-08 14:00:00,2011-08-08 14:40:00,2011-08-10 07:00:00,2011-08-10 08:35:00,1,2,3,8 August,Devon Bezuidenhout,Canter Transport
235826,192671,178,2011-08-08 12:00:00,2011-08-08 12:46:00,2011-08-08 15:00:00,2011-08-08 15:00:00,1,0,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235826,192671,178,2011-08-08 12:00:00,2011-08-08 17:00:00,2011-08-08 15:00:00,2011-08-08 19:20:00,5,4,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235800,198137,115,2011-08-08 13:00:00,2011-08-08 13:02:00,2011-08-10 08:00:00,2011-08-10 06:05:00,0,0,3,8 August,Devon Bezuidenhout,Pride Milling - Nigel
235831,A15974,157,2011-08-07 14:00:00,2011-08-07 14:35:00,2011-08-08 14:00:00,2011-08-08 10:10:00,1,-2,21,8 August,Kenny Hiscock,Arcelor Mittal
235832,A15975,157,2011-08-08 20:00:00,2011-08-08 19:20:00,2011-08-09 12:00:00,2011-08-09 10:55:00,1,-1,7,8 August,Kenny Hiscock,Arcelor Mittal
235833,192338,62,2011-08-08 12:00:00,2011-08-07 07:30:00,2011-08-15 18:00:00,2011-08-16 13:10:00,-27,19,1,8 August,Jacques Redgard,Tradewind Logistics
235834,192663,179,2011-08-08 12:00:00,2011-08-08 13:43:00,2011-08-08 15:00:00,2011-08-08 16:00:00,2,1,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235834,192663,179,2011-08-08 12:00:00,2011-08-08 17:00:00,2011-08-08 15:00:00,2011-08-08 19:00:00,5,4,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235836,192665,183,2011-08-08 12:30:00,2011-08-08 15:47:00,2011-08-08 15:00:00,2011-08-08 16:41:00,3,2,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235836,192665,183,2011-08-08 12:30:00,2011-08-08 17:00:00,2011-08-08 15:00:00,2011-08-08 21:39:00,5,7,1,8 August,Arthur Vissagie,Illovo Sugar Speed Fleet Noodesburg
235597,198025,43,2011-08-05 20:00:00,2011-08-09 06:10:00,2011-08-10 10:00:00,2011-08-09 21:23:00,82,-11,4,8 August,Jacques Redgard,Omnia Fertiliser
235096,186339,DM9,2011-08-08 12:00:00,2011-08-08 12:00:00,2011-08-10 08:00:00,2011-08-10 08:00:00,0,0,138,8 August,Devon Bezuidenhout,Conrite Walls
235472,171923,45,2011-08-05 13:00:00,2011-08-09 12:00:00,2011-08-08 08:00:00,2011-08-10 11:00:00,95,51,5,8 August,Jacques Redgard,Omnia Fertiliser
233328,198074,13,2011-08-08 17:00:00,2011-08-09 08:00:00,2011-08-10 12:00:00,2011-08-11 06:00:00,15,18,438,8 August,Devon Bezuidenhout,Floorworx Africa(PTY) LTD
234322,191802,243,2011-08-08 15:00:00,2011-08-08 15:00:00,2011-08-10 12:00:00,2011-08-10 04:20:00,0,-6,268,8 August,Devon Bezuidenhout,Floorworx Africa(PTY) LTD
235841,176886,240,2011-08-08 17:00:00,2011-08-09 08:00:00,2011-08-10 12:00:00,2011-08-11 06:15:00,15,18,5,8 August,Devon Bezuidenhout,Floorworx Africa(PTY) LTD
235829,191688,230,2011-08-08 16:00:00,2011-08-09 06:30:00,2011-08-10 10:00:00,2011-08-11 06:20:00,15,20,3,8 August,Devon Bezuidenhout,Monteagle Africa Limited
235732,191662,98,2011-08-08 15:00:00,2011-08-08 18:00:00,2011-08-09 08:00:00,2011-08-09 17:35:00,3,10,6,8 August,Devon Bezuidenhout,Carisbrooke Valley Citrus
235827,187012,DM1,2011-08-08 14:00:00,2011-08-08 14:00:00,2011-08-10 07:00:00,2011-08-10 06:30:00,0,1,1,8 August,Devon Bezuidenhout,Lime Distributors (Natal) CC
235804,192333,56,2011-08-08 15:00:00,2011-08-08 15:21:00,2011-08-10 08:00:00,2011-08-10 07:15:00,0,1,5,8 August,Devon Bezuidenhout,Transport 2000
235844,189678,54,2011-08-08 15:00:00,2011-08-08 16:15:00,2011-08-10 08:00:00,2011-08-09 21:10:00,1,-9,1,8 August,Jacques Redgard,Omnia Fertiliser
235845,196371,19,2011-08-08 14:00:00,2011-08-08 17:15:00,2011-08-10 08:00:00,2011-08-10 06:39:00,3,-1,0,8 August,Devon Bezuidenhout,Sasko
235797,197197,79,2011-08-08 13:00:00,2011-08-08 12:51:00,2011-08-09 08:00:00,2011-08-09 06:00:00,0,-2,2,8 August,Devon Bezuidenhout,Kempston Logistics P.E
235846,196410,218,2011-08-08 15:00:00,2011-08-08 13:58:00,2011-08-10 12:00:00,2011-08-10 05:19:00,-1,-5,1,8 August,Devon Bezuidenhout,Sasko
235849,185739,60,2011-08-08 14:00:00,2011-08-08 15:59:00,2011-08-10 08:00:00,2011-08-10 17:24:00,2,9,0,8 August,Jacques Redgard,Omnia Fertiliser
